strain	date	gpc_lineage	host	country	abbr_authors	s_lineage	genbank_accession	author	accession	sub_lineage	division
807987	1981-12-31 (1981-02-09 - 1981-12-31)	LIV_V	Homo sapiens	Liberia	Welch et al.	LIV_V	MG812631	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812631		
807988	1996-01-01 (1996-01-01 - 1996-11-22)	LIV_V	Homo sapiens	Guinea	Welch et al.	LIV_V	MG812685	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812685		
808714	1980-12-31 (1980-03-04 - 1980-12-31)	LIV_V	Homo sapiens	Sierra Leone	Welch et al.	LIV_V	MG812683	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812683		
810801	1974-01-23 (1974-01-01 - 1974-12-31)	LII	Homo sapiens	Nigeria	Welch et al.	LII	MG812681	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812681		
811606	2010-12-31 (2010-02-07 - 2010-12-31)	LIV_V	Homo sapiens	Liberia	Welch et al.	LIV_V	MG812679	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812679		
812285	1976-01-01 (1976-01-01 - 1976-11-25)	LI	Homo sapiens	Nigeria	Welch et al.	LI	MG812675	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812675		
812337	2014-12-31 (2014-02-09 - 2014-12-31)	LIV_V	Homo sapiens	Liberia	Welch et al.	LIV_V	MG812658	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812658		
812673	2015-12-31 (2015-02-10 - 2015-12-31)	LIV_V	Homo sapiens	Liberia	Welch et al.	LIV_V	MG812650	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812650		
813877	1989-12-31 (1989-02-08 - 1989-12-31)	LII	Homo sapiens	Nigeria	Spengler et al.	LII	OM140827	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140827		
813878	2007-12-31 (2007-02-07 - 2007-12-31)	LIII	Homo sapiens	Nigeria	Spengler et al.	LIII	OM140829	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140829		
813888	2000-01-01 (2000-01-01 - 2000-11-17)	LIII	Homo sapiens	Nigeria	Spengler et al.	LIII	OM140831	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140831		
Pinneo-NIG-1969	1969-12-29 (1969-01-01 - 1969-12-31)	LI		Nigeria	Andersen et al.	LI	KM822128	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822128		
LP	1969-11-24 (1969-01-16 - 1970-09-04)	LI			Bowen et al.	LI	AF181853	Bowen,M.D.,Rollin,P.E.,Ksiazek,T.G.,Hustad,H.L.,Bausch,D.G.,Demby,A.H.,Bajani,M.D.,Peters,C.J.,Nichol,S.T.	AF181853		
Acar 3080	1971-02-14 (1969-12-21 - 1972-11-01)	LI			Hajjaj et al.	LI	AY628208	Hajjaj,A.,Chain,P.S.G.,Do,L.H.,Smith,K.L.,Imbro,P.M.,Malfatti,S.A.,Jahrling,P.B.,Geisbert,J.,Ibrahim,M.S.	AY628208		
Pinneo	1970-09-13 (1969-09-19 - 1972-05-19)	LI			Hajjaj et al.	LI	AY628207	Hajjaj,A.,Chain,P.S.G.,Do,L.H.,Smith,K.L.,Imbro,P.M.,Malfatti,S.A.,Jahrling,P.B.,Geisbert,J.,Ibrahim,M.S.	AY628207		
GA391	1978-05-12 (1976-10-04 - 1980-04-12)	LIII			Clegg et al.	LIII	X52400	Clegg,J.C.,Wilson,S.M.,Oram,J.D.,Clegg,J.C.S.	X52400	3a	
GA391_765myi	1977-01-01 (1977-01-01 - 1977-11-19)	LIII	Homo sapiens	Nigeria	Ashraf et al.	LIII	OL774861	Ashraf,S.,Love,H.,Burton,C.,Carmichael,S.,Davis,C.,Filipe,A.D.,Roddy,S.,Smollett,K.,Summers,S.,Tong,L.,Richards,K.S.,Thomson,E.C.	OL774861		
LASV/H.sapiens-tc/NGA/2013/IRR_002	2013-01-17	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107965	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107965	3a	Benue
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0187	2016-01-17	LIII	Homo sapiens	Nigeria	Odia et al.	LIII	MH053478	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053478		
Weller	1981-11-07 (1980-12-19 - 1982-08-13)	LIII			Hajjaj et al.	LIII	AY628206	Hajjaj,A.,Chain,P.S.G.,Do,L.H.,Smith,K.L.,Imbro,P.M.,Malfatti,S.A.,Jahrling,P.B.,Geisbert,J.,Ibrahim,M.S.	AY628206		
LASV/H.sapiens-tc/NGA/2016/IRR_023	2016-02-23	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107929	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107929	3a	Kaduna
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0717	2016-02-23	LIII	Homo sapiens	Nigeria	Odia et al.	LIII	MH053476	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053476		
Nig08-A18	2008-01-01 (2008-01-01 - 2008-11-22)	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	GU481070	Ehichioya,D.U.,Hass,M.,Olschlager,S.,Becker-Ziaja,B.,Onyebuchi Chukwu,C.O.,Coker,J.,Nasidi,A.,Ogugua,O.O.,Gunther,S.,Omilabu,S.A.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Lelke,M.,Ter Meulen,J.,Akpede,G.O.,Ehichioya,D.,Omilabu,S.	GU481070	3a	Plateau
Nig08-A19	2008-01-01 (2008-01-01 - 2008-11-21)	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	GU481072	Ehichioya,D.U.,Hass,M.,Olschlager,S.,Becker-Ziaja,B.,Onyebuchi Chukwu,C.O.,Coker,J.,Nasidi,A.,Ogugua,O.O.,Gunther,S.,Omilabu,S.A.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Lelke,M.,Ter Meulen,J.,Akpede,G.O.,Ehichioya,D.,Omilabu,S.	GU481072	3a	Plateau
H.sapiens-wt/NGA/2018/NML_61	2018-12-31 (2018-02-17 - 2018-12-31)	LIII	Homo sapiens	Nigeria	Stein et al.	LIII	MZ169799	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169799		
LASV/H.sapiens-wt/NGA/2018/IRR_025	2018-01-19	LIII	Homo sapiens	Nigeria	Kafetzopoulou et al.	LIII	MK117971	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117971	3b	Imo
H.sapiens-wt/NGA/2018/LASV0142-IMO-2018	2018-01-19	LIII	Homo sapiens	Nigeria	Siddle et al.	LIII	MH887809	Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	MH887809		
H.sapiens-wt/NGA/2018/NML_57	2018-01-01 (2018-01-01 - 2018-11-20)	LIII	Homo sapiens	Nigeria	Stein et al.	LIII	MZ169797	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169797		
LASV/H.sapiens-tc/NGA/2016/IRR_025	2016-02-26	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107921	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107921	3b	Benue
LASV/H.sapiens-tc/NGA/2016/IRR_016	2016-02-06	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107930	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107930	3b	Nasarawa
ONM-700	2012-10-29	LIII	Mastomys erythroleucus	Nigeria	Olayemi et al.	LIII	KT992424	Olayemi,A.,Cadar,D.,Magassouba,N.,Obadare,A.,Kourouma,F.,Oyeyiola,A.,Fasogbon,S.,Igbokwe,J.,Rieger,T.,Bockholt,S.,Jerome,H.,Schmidt-Chanasit,J.,Garigliany,M.,Lorenzen,S.,Igbahenah,F.,Fichet,J.N.,Ortsega,D.,Omilabu,S.,Gunther,S.,Fichet-Calvet,E.,Fasogbon,A.,Becker-Ziaja,B.,Pahlman,M.,Fichet,J.-N.	KT992424	3b	
ONM-314	2011-10-24	LIII	Mastomys erythroleucus	Nigeria	Olayemi et al.	LIII	KT992423	Olayemi,A.,Cadar,D.,Magassouba,N.,Obadare,A.,Kourouma,F.,Oyeyiola,A.,Fasogbon,S.,Igbokwe,J.,Rieger,T.,Bockholt,S.,Jerome,H.,Schmidt-Chanasit,J.,Garigliany,M.,Lorenzen,S.,Igbahenah,F.,Fichet,J.N.,Ortsega,D.,Omilabu,S.,Gunther,S.,Fichet-Calvet,E.,Fasogbon,A.,Becker-Ziaja,B.,Pahlman,M.,Fichet,J.-N.	KT992423	3b	
ONM-299	2011-10-23	LIII	Mastomys erythroleucus	Nigeria	Olayemi et al.	LIII	KT992422	Olayemi,A.,Cadar,D.,Magassouba,N.,Obadare,A.,Kourouma,F.,Oyeyiola,A.,Fasogbon,S.,Igbokwe,J.,Rieger,T.,Bockholt,S.,Jerome,H.,Schmidt-Chanasit,J.,Garigliany,M.,Lorenzen,S.,Igbahenah,F.,Fichet,J.N.,Ortsega,D.,Omilabu,S.,Gunther,S.,Fichet-Calvet,E.,Fasogbon,A.,Becker-Ziaja,B.,Pahlman,M.,Fichet,J.-N.	KT992422	3b	
LASV/H.sapiens-tc/NGA/2015/IRR_015	2015-12-30	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107949	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107949	3c	Nasarawa
Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0831	2015-12-30	LIII	Homo sapiens	Nigeria	Odia et al.	LIII	MH053475	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053475		
LASV/H.sapiens-tc/NGA/2016/IRR_015	2016-02-03	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107933	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107933	3c	Nasarawa
LASV/H.sapiens-wt/NGA/2017/IRR_001	2017-01-24	LIII	Homo sapiens	Nigeria	Kafetzopoulou et al.	LIII	MK117849	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117849	3c	Nasarawa
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1604	2016-11-05	LIII	Homo sapiens	Nigeria	Odia et al.	LIII	MH053472	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053472		
LASV/H.sapiens-tc/NGA/2013/IRR_003	2013-01-18	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107968	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107968	3c	Nasarawa
H.sapiens-wt/NGA/2018/NML_55	2018-01-01 (2018-01-01 - 2018-11-16)	LIII	Homo sapiens	Nigeria	Stein et al.	LIII	MZ169795	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169795		
H.sapiens-wt/NGA/2018/NML_33	2018-10-22 (2018-01-01 - 2018-12-31)	LIII	Homo sapiens	Nigeria	Stein et al.	LIII	MZ169791	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169791		
LASV/H.sapiens-tc/NGA/2015/IRR_014	2015-12-30	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107914	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107914	3c	Nasarawa
LASV/H.sapiens-tc/NGA/2014/IRR_002	2014-01-20	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107910	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107910	3c	Nasarawa
LASV/H.sapiens-tc/NGA/2016/IRR_020	2016-02-15	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107935	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107935	3c	Nasarawa
CSF	2008-02-22 (2003-08-27 - 2013-02-15)	LIII			Gunther et al.	LIII	AF333969	Gunther,S.,Weisner,B.,Roth,A.,Grewing,T.,Asper,M.,Drosten,C.,Emmerich,P.,Petersen,J.,Wilczek,M.,Schmitz,H.	AF333969	3c	
LASV/H.sapiens-tc/NGA/2016/IRR_011	2016-01-24	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107932	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107932	3c	Nasarawa
LASV/H.sapiens-tc/NGA/2016/IRR_008	2016-01-20	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107931	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107931	3c	Nasarawa
LASV/H.sapiens-tc/NGA/2016/IRR_032	2016-03-13	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107934	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107934	3c	Nasarawa
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0917	2016-03-13	LIII	Homo sapiens	Nigeria	Odia et al.	LIII	MH053463	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053463		
LASV/H.sapiens-tc/NGA/2016/IRR_010	2016-01-22	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107941	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107941	3d	Taraba
H.sapiens-wt/NGA/2018/NML_46	2018-01-01 (2018-01-01 - 2018-11-24)	LIII	Homo sapiens	Nigeria	Stein et al.	LIII	MZ169793	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169793		
Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0789	2015-12-15	LIII	Homo sapiens	Nigeria	Odia et al.	LIII	MH053480	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053480		
LASV/H.sapiens-tc/NGA/2016/IRR_012	2016-01-25	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107917	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107917	3e	Bauchi
ISTH2121-NIG-2012	2012-12-31 (2012-02-11 - 2012-12-31)	LIII	Homo sapiens	Nigeria	Andersen et al.	LIII	KM821980	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821980		
LASV/H.sapiens-tc/NGA/2015/IRR_008	2015-04-10	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107912	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107912	3e	Bauchi
LASV/H.sapiens-tc/NGA/2016/IRR_014	2016-01-28	LIII	Homo sapiens	Nigeria	Ehichioya et al.	LIII	MK107918	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107918	3e	Bauchi
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0419	2016-01-28	LIII	Homo sapiens	Nigeria	Odia et al.	LIII	MH053470	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053470		
