strain	date	country	host	abbr_authors	l_lineage	genbank_accession	author	accession	division
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0717	2016-02-23	Nigeria	Homo sapiens	Odia et al.	LIII	MH053473	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053473	
Nig08-A18	2008-01-01 (2008-01-01 - 2008-11-20)	Nigeria	Homo sapiens	Ehichioya et al.	LIII	GU481071	Ehichioya,D.U.,Hass,M.,Olschlager,S.,Becker-Ziaja,B.,Onyebuchi Chukwu,C.O.,Coker,J.,Nasidi,A.,Ogugua,O.O.,Gunther,S.,Omilabu,S.A.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Lelke,M.,Ter Meulen,J.,Akpede,G.O.,Ehichioya,D.,Omilabu,S.	GU481071	Plateau
Nig08-A19	2008-01-01 (2008-01-01 - 2008-11-22)	Nigeria	Homo sapiens	Ehichioya et al.	LIII	GU481073	Ehichioya,D.U.,Hass,M.,Olschlager,S.,Becker-Ziaja,B.,Onyebuchi Chukwu,C.O.,Coker,J.,Nasidi,A.,Ogugua,O.O.,Gunther,S.,Omilabu,S.A.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Lelke,M.,Ter Meulen,J.,Akpede,G.O.,Ehichioya,D.,Omilabu,S.	GU481073	Plateau
H.sapiens-wt/NGA/2018/NML_61	2018-12-31 (2018-03-01 - 2018-12-31)	Nigeria	Homo sapiens	Stein et al.	LIII	MZ169798	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169798	
LASV/H.sapiens-tc/NGA/2016/IRR_010	2016-01-22	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107886	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107886	Taraba
H.sapiens-wt/NGA/2018/NML_46	2018-01-01 (2018-01-01 - 2018-11-17)	Nigeria	Homo sapiens	Stein et al.	LIII	MZ169792	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169792	
Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0789	2015-12-15	Nigeria	Homo sapiens	Odia et al.	LIII	MH053467	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053467	
LASV/H.sapiens-tc/NGA/2016/IRR_012	2016-01-25	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107862	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107862	Bauchi
LASV/H.sapiens-tc/NGA/2015/IRR_008	2015-04-10	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107857	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107857	Bauchi
LASV/H.sapiens-tc/NGA/2016/IRR_014	2016-01-28	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107863	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107863	Bauchi
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0419	2016-01-28	Nigeria	Homo sapiens	Odia et al.	LIII	MH053481	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053481	
LASV/H.sapiens-tc/NGA/2016/IRR_009	2016-01-20	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107884	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107884	Plateau
LASV/H.sapiens-tc/NGA/2016/IRR_003	2016-01-04	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107885	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107885	Plateau
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1541	2016-10-13	Nigeria	Homo sapiens	Odia et al.	LIII	MH053465	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053465	
LASV/H.sapiens-wt/NGA/2018/IRR_054	2018-02-04	Nigeria	Homo sapiens	Kafetzopoulou et al.	LIII	MK117905	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117905	Bauchi
LASV/H.sapiens-wt/NGA/2018/IRR_086	2018-02-08	Nigeria	Homo sapiens	Kafetzopoulou et al.	LIII	MK117924	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117924	Bauchi
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1546	2016-10-16	Nigeria	Homo sapiens	Odia et al.	LIII	MH053466	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053466	
LASV/H.sapiens-tc/NGA/2013/IRR_014	2013-11-23	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107844	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107844	Bauchi
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1609	2016-11-01	Nigeria	Homo sapiens	Odia et al.	LIII	MH053590	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053590	
LASV/H.sapiens-tc/NGA/2015/IRR_009	2015-04-25	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107856	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107856	Bauchi
LASV/H.sapiens-tc/NGA/2013/IRR_016	2013-12-08	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107845	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107845	Bauchi
LASV/H.sapiens-wt/NGA/2018/IRR_001	2018-01-02	Nigeria	Homo sapiens	Kafetzopoulou et al.	LIII	MK117869	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117869	Bauchi
LASV/H.sapiens-wt/NGA/2018/IRR_001_I	2018-01-02	Nigeria	Homo sapiens	Kafetzopoulou et al.	LIII	MK117832	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117832	Bauchi
LASV/H.sapiens-tc/NGA/2016/IRR_028	2016-02-29	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107865	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107865	Bauchi
LASV/H.sapiens-tc/NGA/2016/IRR_019	2016-02-12	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107864	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107864	Bauchi
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0621	2016-02-12	Nigeria	Homo sapiens	Odia et al.	LIII	MH053479	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053479	
LASV/H.sapiens-wt/NGA/2018/IRR_025	2018-01-19	Nigeria	Homo sapiens	Kafetzopoulou et al.	LIII	MK117889	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117889	Imo
H.sapiens-wt/NGA/2018/LASV0142-IMO-2018	2018-01-19	Nigeria	Homo sapiens	Siddle et al.	LIII	MH887934	Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	MH887934	
H.sapiens-wt/NGA/2018/NML_57	2018-01-01 (2018-01-01 - 2018-11-22)	Nigeria	Homo sapiens	Stein et al.	LIII	MZ169796	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169796	
LASV/H.sapiens-tc/NGA/2016/IRR_025	2016-02-26	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107866	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107866	Benue
LASV/H.sapiens-tc/NGA/2016/IRR_016	2016-02-06	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107875	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107875	Nasarawa
ONM-700	2012-10-29	Nigeria	Mastomys erythroleucus	Olayemi et al.	LIII	KT992434	Olayemi,A.,Cadar,D.,Magassouba,N.,Obadare,A.,Kourouma,F.,Oyeyiola,A.,Fasogbon,S.,Igbokwe,J.,Rieger,T.,Bockholt,S.,Jerome,H.,Schmidt-Chanasit,J.,Garigliany,M.,Lorenzen,S.,Igbahenah,F.,Fichet,J.N.,Ortsega,D.,Omilabu,S.,Gunther,S.,Fichet-Calvet,E.,Fasogbon,A.,Becker-Ziaja,B.,Pahlman,M.,Fichet,J.-N.	KT992434	
ONM-314	2011-10-24	Nigeria	Mastomys erythroleucus	Olayemi et al.	LIII	KT992433	Olayemi,A.,Cadar,D.,Magassouba,N.,Obadare,A.,Kourouma,F.,Oyeyiola,A.,Fasogbon,S.,Igbokwe,J.,Rieger,T.,Bockholt,S.,Jerome,H.,Schmidt-Chanasit,J.,Garigliany,M.,Lorenzen,S.,Igbahenah,F.,Fichet,J.N.,Ortsega,D.,Omilabu,S.,Gunther,S.,Fichet-Calvet,E.,Fasogbon,A.,Becker-Ziaja,B.,Pahlman,M.,Fichet,J.-N.	KT992433	
ONM-299	2011-10-23	Nigeria	Mastomys erythroleucus	Olayemi et al.	LIII	KT992432	Olayemi,A.,Cadar,D.,Magassouba,N.,Obadare,A.,Kourouma,F.,Oyeyiola,A.,Fasogbon,S.,Igbokwe,J.,Rieger,T.,Bockholt,S.,Jerome,H.,Schmidt-Chanasit,J.,Garigliany,M.,Lorenzen,S.,Igbahenah,F.,Fichet,J.N.,Ortsega,D.,Omilabu,S.,Gunther,S.,Fichet-Calvet,E.,Fasogbon,A.,Becker-Ziaja,B.,Pahlman,M.,Fichet,J.-N.	KT992432	
LASV/H.sapiens-tc/NGA/2016/IRR_020	2016-02-15	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107880	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107880	Nasarawa
CSF	1991-10-29 (1988-05-08 - 1995-05-13)			Vieth et al.	LIII	AH012598	Vieth,S.,Torda,A.E.,Asper,M.,Schmitz,H.,Gunther,S.	AH012598	
LASV/H.sapiens-tc/NGA/2015/IRR_014	2015-12-30	Nigeria	Homo sapiens	Ehichioya et al.	LIII	MK107859	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107859	Nasarawa
