Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PP079047,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-16,2025-02-05,ssRNA(+/-)
PP079048,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-17,2025-02-05,ssRNA(+/-)
PP079049,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-17,2025-02-05,ssRNA(+/-)
PP079050,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-17,2025-02-05,ssRNA(+/-)
PP079051,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-17,2025-02-05,ssRNA(+/-)
PP079052,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-18,2025-02-05,ssRNA(+/-)
PP079053,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-18,2025-02-05,ssRNA(+/-)
PP079054,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-18,2025-02-05,ssRNA(+/-)
PP079055,Mammarenavirus lassaense,Mammarenavirus lassaense,,,,936,partial,Guinea: Brissa,Guinea,Mastomys natalensis,blood,"Marien,J., Sage,M., Bangura,U., Lame,A., Koropogui,M., Rieger,T., Soropogui,B., Douno,M., Magassouba,N., Fichet-Calvet,E.",2019-11-18,2025-02-05,ssRNA(+/-)
PQ421570,Mammarenavirus lassaense,Mammarenavirus lassaense,,rLASV/IGR-CD,L,7160,partial,Nigeria,Nigeria,Mastomys natalensis,,"Carey,B.D., Yu,S., Geiger,J., Ye,C., Mehta,M., Hirsch,S., Cubitt,B., Martinez-Sobrido,L., Carlos de la Torre,J., Kuhn,J.H.",2022,2024-10-27,ssRNA(+/-)
PQ421571,Mammarenavirus lassaense,Mammarenavirus lassaense,,rLASV/IGR-CD,S,3399,partial,Nigeria,Nigeria,Mastomys natalensis,,"Carey,B.D., Yu,S., Geiger,J., Ye,C., Mehta,M., Hirsch,S., Cubitt,B., Martinez-Sobrido,L., Carlos de la Torre,J., Kuhn,J.H.",2022,2024-10-27,ssRNA(+/-)
PP826286,Mammarenavirus lassaense,Mammarenavirus lassaense,,LF2350,S,3402,complete,Sierra Leone,Sierra Leone,Homo sapiens,blood,"Taniguchi,S., Saito,T., Paroha,R., Manning,J.T., Huang,C., Paessler,S., Maruyama,J.",2012,2024-05-27,ssRNA(+/-)
PP826287,Mammarenavirus lassaense,Mammarenavirus lassaense,,LF2350,L,7288,complete,Sierra Leone,Sierra Leone,Homo sapiens,blood,"Taniguchi,S., Saito,T., Paroha,R., Manning,J.T., Huang,C., Paessler,S., Maruyama,J.",2012,2024-05-27,ssRNA(+/-)
PP826288,Mammarenavirus lassaense,Mammarenavirus lassaense,,LF2384,S,3401,complete,Sierra Leone,Sierra Leone,Homo sapiens,blood,"Taniguchi,S., Saito,T., Paroha,R., Manning,J.T., Huang,C., Paessler,S., Maruyama,J.",2012,2024-05-27,ssRNA(+/-)
PP826289,Mammarenavirus lassaense,Mammarenavirus lassaense,,LF2384,L,7301,complete,Sierra Leone,Sierra Leone,Homo sapiens,blood,"Taniguchi,S., Saito,T., Paroha,R., Manning,J.T., Huang,C., Paessler,S., Maruyama,J.",2012,2024-05-27,ssRNA(+/-)
PP431155,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR140OS,S,1707,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2022-02-22,2024-03-10,ssRNA(+/-)
PP431156,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWIJR133SPL,L,4057,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2022-01-21,2024-03-10,ssRNA(+/-)
PP431157,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR140RS,L,6577,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2022-02-22,2024-03-10,ssRNA(+/-)
PP431158,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR133RS,S,1669,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2022-02-16,2024-03-10,ssRNA(+/-)
PP431159,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWIYR063,L,6611,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-06-16,2024-03-10,ssRNA(+/-)
PP431160,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR055SPL,S,1657,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-11-06,2024-03-10,ssRNA(+/-)
PP431161,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWIYR047,L,6641,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-06-15,2024-03-10,ssRNA(+/-)
PP431162,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWIYR124,S,1672,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-06-07,2024-03-10,ssRNA(+/-)
PP431163,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR159TEST,S,1652,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2022-08-03,2024-03-10,ssRNA(+/-)
PP431164,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR061LIV,S,1619,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-11-11,2024-03-10,ssRNA(+/-)
PP431165,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWIYR108,S,1707,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-06-18,2024-03-10,ssRNA(+/-)
PP431166,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWISR001KID,L,4346,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-01-06,2024-03-10,ssRNA(+/-)
PP431167,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR056SPL,S,1705,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-11-07,2024-03-10,ssRNA(+/-)
PP431168,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWIYR062,L,6576,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-06-15,2024-03-10,ssRNA(+/-)
PP431169,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR055TEST,S,1616,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-11-06,2024-03-10,ssRNA(+/-)
PP431170,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR061KID,L,6385,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-11-11,2024-03-10,ssRNA(+/-)
PP431171,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR133RS,L,5223,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2022-02-16,2024-03-10,ssRNA(+/-)
PP431172,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR058LIV,S,1500,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-11-09,2024-03-10,ssRNA(+/-)
PP431173,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR061SPL,S,1619,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-11-11,2024-03-10,ssRNA(+/-)
PP431174,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR159SPL,L,5589,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2022-08-03,2024-03-10,ssRNA(+/-)
PP431175,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWIYR071KD,L,4797,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-06-16,2024-03-10,ssRNA(+/-)
PP431176,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR056SPL,L,5047,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-11-07,2024-03-10,ssRNA(+/-)
PP431177,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWISR018KID,L,6532,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-04-06,2024-03-10,ssRNA(+/-)
PP431178,Mammarenavirus lassaense,Mammarenavirus lassaense,,OWEHR055TEST,L,4108,partial,Nigeria: Owo,Nigeria,Rodentia,,"Happi,A.N., Ogunsanya,O.A., Sijuwola,A.E., Saibu,F.M., Akano,K., Ayinla,A.O., Nwofoke,C., Daodu,R.O., Adedokun,O.A., Fadele,J., Elias,O.T., Ogundana,K.E., Lawal,O.Z., Adelabu,A., Nosamiefan,I., Okolie,J., Parker,Z., McCauley,M., Lombardi,K., Eller,L.A., Broach,E., Prins,P., Parker,E., Page,B., Heeney,J.L., Modjarrad,K., Collins,N.D., Vasan,S., Happi,C.T.",2021-11-06,2024-03-10,ssRNA(+/-)
