strain	date	abbr_authors	s_lineage	gpc_lineage	genbank_accession	author	accession	country	host	sub_lineage	division
812285	1976-01-01 (1976-01-01 - 1976-11-25)	Welch et al.	LI	LI	MG812675	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812675	Nigeria	Homo sapiens		
812337	2014-12-31 (2014-02-08 - 2014-12-31)	Welch et al.	LIV_V	LIV_V	MG812658	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812658	Liberia	Homo sapiens		
812673	2015-01-01 (2015-01-01 - 2015-11-24)	Welch et al.	LIV_V	LIV_V	MG812650	Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	MG812650	Liberia	Homo sapiens		
813877	1989-12-31 (1989-02-07 - 1989-12-31)	Spengler et al.	LII	LII	OM140827	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140827	Nigeria	Homo sapiens		
813878	2007-12-31 (2007-02-08 - 2007-12-31)	Spengler et al.	LIII	LIII	OM140829	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140829	Nigeria	Homo sapiens		
813888	2000-12-31 (2000-02-06 - 2000-12-31)	Spengler et al.	LIII	LIII	OM140831	Spengler,J.R.,Kainulainen,M.H.,Welch,S.R.,Coleman-McCray,J.A.D.,Harmon,J.R.,Condrey,J.A.,Scholte,F.E.M.,Nichol,S.T.,Montgomery,J.M.,Albarino,C.G.,Spiropoulou,C.F.	OM140831	Nigeria	Homo sapiens		
Acar 3080	1970-05-23 (1969-01-14 - 1973-02-03)	Hajjaj et al.	LI	LI	AY628208	Hajjaj,A.,Chain,P.S.G.,Do,L.H.,Smith,K.L.,Imbro,P.M.,Malfatti,S.A.,Jahrling,P.B.,Geisbert,J.,Ibrahim,M.S.	AY628208				
Pinneo-NIG-1969	1969-12-29 (1969-01-01 - 1969-12-31)	Andersen et al.	LI	LI	KM822128	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822128	Nigeria			
Pinneo	1969-11-21 (1968-07-23 - 1971-12-16)	Hajjaj et al.	LI	LI	AY628207	Hajjaj,A.,Chain,P.S.G.,Do,L.H.,Smith,K.L.,Imbro,P.M.,Malfatti,S.A.,Jahrling,P.B.,Geisbert,J.,Ibrahim,M.S.	AY628207				
LP	1969-11-21 (1968-07-23 - 1971-12-16)	Bowen et al.	LI	LI	AF181853	Bowen,M.D.,Rollin,P.E.,Ksiazek,T.G.,Hustad,H.L.,Bausch,D.G.,Demby,A.H.,Bajani,M.D.,Peters,C.J.,Nichol,S.T.	AF181853				
GA391	1978-02-02 (1976-01-02 - 1980-12-14)	Clegg et al.	LIII	LIII	X52400	Clegg,J.C.,Wilson,S.M.,Oram,J.D.,Clegg,J.C.S.	X52400			3a	
GA391_4kzret	1977-12-25 (1977-01-01 - 1977-12-31)	Ashraf et al.	LIII	LIII	OL774861	Ashraf,S.,Love,H.,Burton,C.,Carmichael,S.,Davis,C.,Filipe,A.D.,Roddy,S.,Smollett,K.,Summers,S.,Tong,L.,Richards,K.S.,Thomson,E.C.	OL774861	Nigeria	Homo sapiens		
LASV/H.sapiens-wt/NGA/2015/IRR_002	2015-01-08	Ehichioya et al.	LIII	LIII	MK107978	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107978	Nigeria	Homo sapiens	3a	Bauchi
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0187	2016-01-17	Odia et al.	LIII	LIII	MH053478	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053478	Nigeria	Homo sapiens		
Weller	1981-09-14 (1980-02-03 - 1983-10-28)	Hajjaj et al.	LIII	LIII	AY628206	Hajjaj,A.,Chain,P.S.G.,Do,L.H.,Smith,K.L.,Imbro,P.M.,Malfatti,S.A.,Jahrling,P.B.,Geisbert,J.,Ibrahim,M.S.	AY628206				
LASV/H.sapiens-tc/NGA/2013/IRR_002	2013-01-17	Ehichioya et al.	LIII	LIII	MK107965	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107965	Nigeria	Homo sapiens	3a	Benue
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0717	2016-02-23	Odia et al.	LIII	LIII	MH053476	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053476	Nigeria	Homo sapiens		
LASV/H.sapiens-tc/NGA/2016/IRR_023	2016-02-23	Ehichioya et al.	LIII	LIII	MK107929	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107929	Nigeria	Homo sapiens	3a	Kaduna
Nig08-02	2008-12-31 (2008-02-06 - 2008-12-31)	Ehichioya et al.	LIII	LIII	GU481063	Ehichioya,D.U.,Hass,M.,Olschlager,S.,Becker-Ziaja,B.,Onyebuchi Chukwu,C.O.,Coker,J.,Nasidi,A.,Ogugua,O.O.,Gunther,S.,Omilabu,S.A.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Lelke,M.,Ter Meulen,J.,Akpede,G.O.,Ehichioya,D.,Omilabu,S.	GU481063	Nigeria	Homo sapiens	3a	Federal Capital Territory
Nig08-A18	2008-01-01 (2008-01-01 - 2008-11-24)	Ehichioya et al.	LIII	LIII	GU481070	Ehichioya,D.U.,Hass,M.,Olschlager,S.,Becker-Ziaja,B.,Onyebuchi Chukwu,C.O.,Coker,J.,Nasidi,A.,Ogugua,O.O.,Gunther,S.,Omilabu,S.A.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Lelke,M.,Ter Meulen,J.,Akpede,G.O.,Ehichioya,D.,Omilabu,S.	GU481070	Nigeria	Homo sapiens	3a	Plateau
Nig08-A19	2008-01-01 (2008-01-01 - 2008-11-21)	Ehichioya et al.	LIII	LIII	GU481072	Ehichioya,D.U.,Hass,M.,Olschlager,S.,Becker-Ziaja,B.,Onyebuchi Chukwu,C.O.,Coker,J.,Nasidi,A.,Ogugua,O.O.,Gunther,S.,Omilabu,S.A.,Ehimuan,J.,Asogun,D.A.,Fichet-Calvet,E.,Kleinsteuber,K.,Lelke,M.,Ter Meulen,J.,Akpede,G.O.,Ehichioya,D.,Omilabu,S.	GU481072	Nigeria	Homo sapiens	3a	Plateau
H.sapiens-wt/NGA/2018/NML_61	2018-12-31 (2018-02-10 - 2018-12-31)	Stein et al.	LIII	LIII	MZ169799	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169799	Nigeria	Homo sapiens		
LASV/H.sapiens-tc/NGA/2016/IRR_010	2016-01-22	Ehichioya et al.	LIII	LIII	MK107941	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107941	Nigeria	Homo sapiens	3d	Taraba
LASV/H.sapiens-tc/NGA/2016/IRR_016	2016-02-06	Ehichioya et al.	LIII	LIII	MK107930	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107930	Nigeria	Homo sapiens	3b	Nasarawa
ONM-700	2012-10-29	Olayemi et al.	LIII	LIII	KT992424	Olayemi,A.,Cadar,D.,Magassouba,N.,Obadare,A.,Kourouma,F.,Oyeyiola,A.,Fasogbon,S.,Igbokwe,J.,Rieger,T.,Bockholt,S.,Jerome,H.,Schmidt-Chanasit,J.,Garigliany,M.,Lorenzen,S.,Igbahenah,F.,Fichet,J.N.,Ortsega,D.,Omilabu,S.,Gunther,S.,Fichet-Calvet,E.,Fasogbon,A.,Becker-Ziaja,B.,Pahlman,M.,Fichet,J.-N.	KT992424	Nigeria	Mastomys erythroleucus	3b	
ONM-314	2011-10-24	Olayemi et al.	LIII	LIII	KT992423	Olayemi,A.,Cadar,D.,Magassouba,N.,Obadare,A.,Kourouma,F.,Oyeyiola,A.,Fasogbon,S.,Igbokwe,J.,Rieger,T.,Bockholt,S.,Jerome,H.,Schmidt-Chanasit,J.,Garigliany,M.,Lorenzen,S.,Igbahenah,F.,Fichet,J.N.,Ortsega,D.,Omilabu,S.,Gunther,S.,Fichet-Calvet,E.,Fasogbon,A.,Becker-Ziaja,B.,Pahlman,M.,Fichet,J.-N.	KT992423	Nigeria	Mastomys erythroleucus	3b	
ONM-299	2011-10-23	Olayemi et al.	LIII	LIII	KT992422	Olayemi,A.,Cadar,D.,Magassouba,N.,Obadare,A.,Kourouma,F.,Oyeyiola,A.,Fasogbon,S.,Igbokwe,J.,Rieger,T.,Bockholt,S.,Jerome,H.,Schmidt-Chanasit,J.,Garigliany,M.,Lorenzen,S.,Igbahenah,F.,Fichet,J.N.,Ortsega,D.,Omilabu,S.,Gunther,S.,Fichet-Calvet,E.,Fasogbon,A.,Becker-Ziaja,B.,Pahlman,M.,Fichet,J.-N.	KT992422	Nigeria	Mastomys erythroleucus	3b	
H.sapiens-wt/NGA/2018/LASV0142-IMO-2018	2018-01-19	Siddle et al.	LIII	LIII	MH887809	Siddle,K.J.,Eromon,P.,Barnes,K.G.,Mehta,S.,Oguzie,J.U.,Odia,I.,Schaffner,S.F.,Winnicki,S.M.,Shah,R.R.,Qu,J.,Wohl,S.,Brehio,P.,Iruolagbe,C.,Aiyepada,J.,Uyigue,E.,Akhilomen,P.,Okonofua,G.,Ye,S.,Kayode,T.,Ajogbasile,F.,Uwanibe,J.,Gaye,A.,Momoh,M.,Chak,B.,Kotliar,D.,Carter,A.,Gladden-Young,A.,Freije,C.A.,Omoregie,O.,Osiemi,B.,Muoebonam,E.B.,Airende,M.,Enigbe,R.,Ebo,B.,Nosamiefan,I.,Oluniyi,P.,Nekoui,M.,Ogbaini-Emovon,E.,Garry,R.F.,Andersen,K.G.,Park,D.J.,Yozwiak,N.L.,Akpede,G.,Ihekweazu,C.,Tomori,O.,Okogbenin,S.,Folarin,O.A.,Okokhere,P.O.,MacInnis,B.L.,Sabeti,P.C.,Happi,C.T.,Winnicki,S.,Shah,R.,Yozwiak,N.,Adebayo,A.,Birren,B.W.,Folarin,O.,Okokhere,P.	MH887809	Nigeria	Homo sapiens		
LASV/H.sapiens-wt/NGA/2018/IRR_025	2018-01-19	Kafetzopoulou et al.	LIII	LIII	MK117971	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117971	Nigeria	Homo sapiens	3b	Imo
H.sapiens-wt/NGA/2018/NML_57	2018-01-01 (2018-01-01 - 2018-11-20)	Stein et al.	LIII	LIII	MZ169797	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169797	Nigeria	Homo sapiens		
LASV/H.sapiens-tc/NGA/2016/IRR_025	2016-02-26	Ehichioya et al.	LIII	LIII	MK107921	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107921	Nigeria	Homo sapiens	3b	Benue
LASV/H.sapiens-tc/NGA/2014/IRR_002	2014-01-20	Ehichioya et al.	LIII	LIII	MK107910	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107910	Nigeria	Homo sapiens	3c	Nasarawa
CSF	2004-07-28 (1997-12-14 - 2012-05-06)	Gunther et al.	LIII	LIII	AF333969	Gunther,S.,Weisner,B.,Roth,A.,Grewing,T.,Asper,M.,Drosten,C.,Emmerich,P.,Petersen,J.,Wilczek,M.,Schmitz,H.	AF333969			3c	
LASV/H.sapiens-tc/NGA/2016/IRR_020	2016-02-15	Ehichioya et al.	LIII	LIII	MK107935	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107935	Nigeria	Homo sapiens	3c	Nasarawa
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0917	2016-03-13	Odia et al.	LIII	LIII	MH053463	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053463	Nigeria	Homo sapiens		
LASV/H.sapiens-tc/NGA/2016/IRR_032	2016-03-13	Ehichioya et al.	LIII	LIII	MK107934	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107934	Nigeria	Homo sapiens	3c	Nasarawa
LASV/H.sapiens-tc/NGA/2016/IRR_011	2016-01-24	Ehichioya et al.	LIII	LIII	MK107932	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107932	Nigeria	Homo sapiens	3c	Nasarawa
LASV/H.sapiens-tc/NGA/2016/IRR_008	2016-01-20	Ehichioya et al.	LIII	LIII	MK107931	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107931	Nigeria	Homo sapiens	3c	Nasarawa
LASV/H.sapiens-tc/NGA/2015/IRR_014	2015-12-30	Ehichioya et al.	LIII	LIII	MK107914	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107914	Nigeria	Homo sapiens	3c	Nasarawa
LASV/H.sapiens-tc/NGA/2013/IRR_003	2013-01-18	Ehichioya et al.	LIII	LIII	MK107968	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107968	Nigeria	Homo sapiens	3c	Nasarawa
H.sapiens-wt/NGA/2018/NML_55	2018-11-29 (2018-01-01 - 2018-12-31)	Stein et al.	LIII	LIII	MZ169795	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169795	Nigeria	Homo sapiens		
H.sapiens-wt/NGA/2018/NML_33	2018-01-01 (2018-01-01 - 2018-11-21)	Stein et al.	LIII	LIII	MZ169791	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169791	Nigeria	Homo sapiens		
LASV/H.sapiens-wt/NGA/2012/IRR_008	2012-03-08	Ehichioya et al.	LIII	LIII	MK107971	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107971	Nigeria	Homo sapiens	3c	Federal Capital Territory
LASV/H.sapiens-tc/NGA/2015/IRR_015	2015-12-30	Ehichioya et al.	LIII	LIII	MK107949	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107949	Nigeria	Homo sapiens	3c	Nasarawa
Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0831	2015-12-30	Odia et al.	LIII	LIII	MH053475	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053475	Nigeria	Homo sapiens		
LASV/H.sapiens-tc/NGA/2016/IRR_015	2016-02-03	Ehichioya et al.	LIII	LIII	MK107933	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107933	Nigeria	Homo sapiens	3c	Nasarawa
Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1604	2016-11-05	Odia et al.	LIII	LIII	MH053472	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053472	Nigeria	Homo sapiens		
LASV/H.sapiens-wt/NGA/2017/IRR_001	2017-01-24	Kafetzopoulou et al.	LIII	LIII	MK117849	Kafetzopoulou,L.E.,Pullan,S.T.,Lemey,P.,Suchard,M.A.,Ehichioya,D.U.,Pahlmann,M.,Thielebein,A.,Hinzmann,J.,Oestereich,L.,Wozniak,D.M.,Efthymiadis,K.,Schachten,D.,Koenig,F.,Matjeschk,J.,Lorenzen,S.,Lumley,S.,Ighodalo,Y.,Adomeh,D.I.,Olokor,T.,Omomoh,E.,Omiumu,R.,Agbukor,J.,Ebo,B.,Aiyepada,J.,Ebhodaghe,P.,Osiemi,B.,Ehikhametalor,S.,Akhilomen,P.,Airende,M.,Esumeh,R.,Muoebonam,E.,Giwa,R.,Ekanem,A.,Igenegbale,G.,Odigie,G.,Okonofua,G.,Ukpetena,R.A.,Oyakhilome,J.,Yerumoh,E.O.,Odia,I.,Aire,C.,Okonofua,M.,Atafo,R.,Tobin,E.,Asogun,D.,Akpede,N.,Okokhere,P.O.,Rafiu,M.O.,Iraoyah,K.O.,Iruolagbe,C.O.,Akhideno,P.,Erameh,C.,Akpede,G.,Isibor,E.,Naidoo,D.,Hewson,R.,Hiscox,J.A.,Vipond,R.,Carroll,M.W.,Ihekweazu,C.,Formenty,P.,Okogbenin,S.,Ogbaini-Emovon,E.,Gunther,S.,Duraffour,S.	MK117849	Nigeria	Homo sapiens	3c	Nasarawa
Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0789	2015-12-15	Odia et al.	LIII	LIII	MH053480	Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	MH053480	Nigeria	Homo sapiens		
H.sapiens-wt/NGA/2018/NML_46	2018-01-01 (2018-01-01 - 2018-11-21)	Stein et al.	LIII	LIII	MZ169793	Stein,D.R.,Warner,B.M.,Audet,J.,Soule,G.,Sroga,P.,Griffin,B.D.,Grolla,A.,Tierney,K.,Albietz,A.,Kobasa,D.,Musa,A.S.,Ahmad,A.,Akinpelu,A.,Mba,N.,Qiu,X.,Ihekweazu,C.,Safronetz,D.,Leung,A.	MZ169793	Nigeria	Homo sapiens		
LASV/H.sapiens-tc/NGA/2016/IRR_012	2016-01-25	Ehichioya et al.	LIII	LIII	MK107917	Ehichioya,D.U.,Lemey,P.,Kafetzopoulou,L.E.,Rieger,T.,Cadar,D.,Duraffour,S.,Ogbaini-Emovon,E.,Okogbenin,S.,Asogun,D.,Gunther,S.	MK107917	Nigeria	Homo sapiens	3e	Bauchi
ISTH2121-NIG-2012	2012-12-31 (2012-02-06 - 2012-12-31)	Andersen et al.	LIII	LIII	KM821980	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821980	Nigeria	Homo sapiens		
